,UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13,WEAPON14,DRUG14,LIQUOR14,FILTER12,FILTER13,FILTER14,pub,year
4114,178624001,Northwest Missouri State University,Northwest Missouri State University,800 UNIVERSITY DRIVE,MARYVILLE,MO,644686001,1,"Public, 2",3125,3595,6720,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4118,178697001,College of the Ozarks,Main Campus,100 Opportunity Ave,Point Lookout,MO,657260017,2,"Private nonprofit, 2",700,733,1433,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4161,178891001,Ranken Technical College,Main Campus,4431 FINNEY AVE,ST LOUIS,MO,631132811,2,"Private nonprofit, 2",1749,102,1851,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4167,179159001,Saint Louis University,Main Campus,221 N GRAND BLVD,ST LOUIS,MO,631032097,2,"Private nonprofit, 2",7048,10004,17052,0,0,0,2,4,0,0,8,0,1,1,1,2,2
4172,179238001,Sikeston Career and Technology Center,Main Campus,1002 VIRGINIA ST,SIKESTON,MO,63801,7,"Public, 0",8,38,46,0,0,0,0,0,0,0,0,0,1,1,1,1,0
4175,179308001,Saint Louis Community College,St. Louis Community College- Forest Park,300 So. Broadway,ST LOUIS,MO,63102,4,"Public, 1",8640,12578,21218,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4177,179308004,Saint Louis Community College,Saint Louis Community College-Florissant Valley,3400 Pershall Road,St. Louis,MO,63135,4,"Public, 1",8640,12578,21218,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4190,179344001,Missouri State University-West Plains,Missouri State University - West Plains,128 GARFIELD AVENUE,WEST PLAINS,MO,657752715,4,"Public, 1",843,1321,2164,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4195,179539001,State Fair Community College,Main Campus,3201 W 16TH STREET,SEDALIA,MO,653012199,4,"Public, 1",1750,3233,4983,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4197,179557001,Southeast Missouri State University,Southeast Missouri State University,ONE UNIVERSITY PLZ,CAPE GIRARDEAU,MO,637019980,1,"Public, 2",5160,6927,12087,0,0,5,0,0,0,0,0,0,1,1,1,1,2
4201,179566001,Missouri State University-Springfield,Springfield Campus,901 S NATIONAL,SPRINGFIELD,MO,65897,1,"Public, 2",9084,12732,21816,0,0,0,0,3,0,0,0,5,1,1,1,1,2
4208,179715001,North Central Missouri College,Main Campus,1301 Main Street,Trenton,MO,64683,4,"Public, 1",536,1210,1746,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4211,179867001,Washington University in St Louis,Danforth Campus,ONE BROOKINGS DR,ST LOUIS,MO,63130,2,"Private nonprofit, 2",7061,7287,14348,1,2,1,0,6,0,0,1,1,1,1,1,2,2
4212,179867002,Washington University in St Louis,Medical School Campus,660 S. EUCLID,ST. LOUIS,MO,63110,2,"Private nonprofit, 2",7061,7287,14348,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4213,179894001,Webster University,Webster University St. Louis-Main Campus,470 E LOCKWOOD,ST LOUIS,MO,631193194,2,"Private nonprofit, 2",7306,9463,16769,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4282,179955001,William Jewell College,William Jewell College,500 COLLEGE HILL,LIBERTY,MO,640681896,2,"Private nonprofit, 2",424,636,1060,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4283,179964001,William Woods University,Main Campus,ONE UNIVERSITY AVENUE,FULTON,MO,652511098,2,"Private nonprofit, 2",644,1387,2031,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4296,180179001,Montana State University-Billings,Montana State University-Billings,1500 University Drive,BILLINGS,MT,591010298,1,"Public, 2",1755,3013,4768,0,2,1,0,0,0,0,0,0,1,1,1,1,2
4297,180197001,Flathead Valley Community College,Main Campus,777 GRANDVIEW DR,KALISPELL,MT,59901,4,"Public, 1",892,1269,2161,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4305,180373001,Miles Community College,Main Campus,2715 DICKINSON,MILES CITY,MT,593014774,4,"Public, 1",160,260,420,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4309,180461001,Montana State University,Main Campus,Montana State University-Bozeman,Bozeman,MT,59717,1,"Public, 2",8035,6947,14982,0,0,19,0,0,6,0,0,13,1,1,1,1,2
4310,180489001,The University of Montana,Mountain Campus,32 Campus Drive,MISSOULA,MT,598128928,1,"Public, 2",6369,7583,13952,0,0,0,0,0,2,0,0,0,1,1,1,1,2
4315,180595001,Rocky Mountain College,Main Campus,1511 POLY DR,BILLINGS,MT,591021796,2,"Private nonprofit, 2",520,487,1007,0,0,0,0,1,0,0,0,0,1,1,1,2,2
4316,180647001,Salish Kootenai College,Salish Kootenai College,PO Box 70,PABLO,MT,598550070,2,"Private nonprofit, 2",322,537,859,0,0,0,0,3,1,0,0,6,1,1,1,2,2
4319,180814001,Bellevue University,Main Campus,1000 GALVIN RD S,BELLEVUE,NE,680053098,2,"Private nonprofit, 2",4625,5254,9879,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4325,180948001,Chadron State College,Chadron State College,1000 MAIN STREET,CHADRON,NE,69337,1,"Public, 2",1268,1765,3033,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4327,180984001,Concordia University-Nebraska,Concordia University,800 N COLUMBIA,SEWARD,NE,68434,2,"Private nonprofit, 2",924,1408,2332,0,2,0,0,2,3,0,0,0,1,1,1,2,2
4328,180984002,Concordia University-Nebraska,Fallbrook Campus,570 Fallbrook Blvd.,Lincoln,NE,68521,2,"Private nonprofit, 2",924,1408,2332,3,32,12,0,13,3,0,0,0,1,1,1,2,2
4329,181002001,Creighton University,Main Campus,2500 CALIFORNIA PLAZA,OMAHA,NE,68178,2,"Private nonprofit, 2",3521,4715,8236,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4330,181020001,Doane College-Crete,Doane College Crete Campus,1014 BOSWELL,CRETE,NE,68333,2,"Private nonprofit, 2",535,530,1065,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4343,181215001,University of Nebraska at Kearney,University of Nebraska at Kearney,905 W 25TH ST,KEARNEY,NE,688491212,1,"Public, 2",2800,4102,6902,0,2,2,0,0,0,0,0,0,1,1,1,1,2
4356,181312003,Mid-Plains Community College,McCook Campus,1205 West 3rd,McCook,NE,69001,4,"Public, 1",804,1339,2143,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4368,181428001,University of Nebraska Medical Center,Main Campus,984230 NEBRASKA MEDICAL CTR,OMAHA,NE,681984230,1,"Public, 2",1324,2372,3696,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4372,181464001,University of Nebraska-Lincoln,Main Campus,14th and R St,Lincoln,NE,685880419,1,"Public, 2",13062,11944,25006,0,0,0,0,0,0,0,0,1,1,1,1,1,2
4373,181491001,Northeast Community College,Northeast Community College,801 E BENJAMIN AVENUE,NORFOLK,NE,687020469,4,"Public, 1",2722,2339,5061,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4384,181783001,Wayne State College,Main Campus,1111 MAIN ST,WAYNE,NE,68787,1,"Public, 2",1480,1990,3470,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4390,182005001,College of Southern Nevada,Main Campus,6375 West Charleston Blvd.,Las Vegas,NV,89146,1,"Public, 2",15882,20061,35943,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4393,182111001,The Art Institute of Las Vegas,The Art Institute of Las Vegas,2350 CORPORATE CIRCLE,HENDERSON,NV,89074,3,"Private for-profit, 2",530,422,952,0,1,1,0,0,0,0,0,0,1,1,1,3,2
4397,182281001,University of Nevada-Las Vegas,University of Nevada-Las Vegas,4505 S. Maryland Parkway,Las Vegas,NV,89154,1,"Public, 2",12711,15804,28515,0,0,0,0,0,2,0,0,0,1,1,1,1,2
4399,182290001,University of Nevada-Reno,Main Campus,1664 N. Virginia Street,Reno,NV,895570250,1,"Public, 2",9445,10489,19934,0,1,0,0,0,2,0,0,2,1,1,1,1,2
4401,182290004,University of Nevada-Reno,University of Nevada-Reno - School of Medicine,2040 W. Charleston Blvd.,Las Vegas,NV,89102,1,"Public, 2",9445,10489,19934,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4417,182634001,Colby-Sawyer College,Main Campus,541 MAIN ST,NEW LONDON,NH,32574648,2,"Private nonprofit, 2",420,949,1369,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4420,182670001,Dartmouth College,Dartmouth College  Main Campus,North Main Street,HANOVER,NH,37553529,2,"Private nonprofit, 2",3331,2967,6298,0,2,0,0,4,20,0,3,29,1,1,1,2,2
4433,182980001,New England College,Main Campus,98 BRIDGE ST,HENNIKER,NH,3242,2,"Private nonprofit, 2",977,1422,2399,0,0,0,0,0,0,0,1,4,1,1,1,2,2
4435,183026001,Southern New Hampshire University,Main Campus,2500 N RIVER RD,MANCHESTER,NH,3106,2,"Private nonprofit, 2",16981,26293,43274,0,0,0,0,1,0,0,0,0,1,1,1,2,2
4441,183044001,University of New Hampshire-Main Campus,Main Campus,THOMPSON HALL,DURHAM,NH,38243547,1,"Public, 2",6840,8277,15117,0,1,2,0,6,76,0,0,7,1,1,1,1,2
4442,183062001,Keene State College,Keene State College,229 Main Street,Keene,NH,3435,1,"Public, 2",2126,2831,4957,0,1,0,0,0,0,0,0,0,1,1,1,1,2
4444,183080001,Plymouth State University,Main Campus,17 HIGH ST,PLYMOUTH,NH,32641595,1,"Public, 2",2331,2524,4855,0,4,36,0,22,36,0,0,0,1,1,1,1,2
4445,183099001,NHTI-Concord's Community College,Main Campus,31 College DR,CONCORD,NH,33017412,4,"Public, 1",1900,2384,4284,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4446,183105001,White Mountains Community College,White Mountains Community College,2020 Riverside Drive,Berlin,NH,35703799,4,"Public, 1",307,538,845,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4449,183123001,Lakes Region Community College,Main Campus,379 Belmont Road,LACONIA,NH,3246,4,"Public, 1",867,676,1543,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4456,183239001,Saint Anselm College,Main Campus,100 SAINT ANSELM DRIVE,MANCHESTER,NH,31021310,2,"Private nonprofit, 2",782,1186,1968,0,2,5,0,0,0,0,0,0,1,1,1,2,2
4468,183655001,Atlantic Cape Community College,Main Campus,5100 BLACK HORSE PIKE,MAYS LANDING,NJ,83302699,4,"Public, 1",2842,4003,6845,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4472,183743001,Bergen Community College,Main Campus,400 PARAMUS RD,PARAMUS,NJ,76521595,4,"Public, 1",8120,7531,15651,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4473,183789001,Berkeley College-Woodland Park,Main Campus,44 RIFLE CAMP RD,Woodland Park,NJ,7424,3,"Private for-profit, 2",1033,2626,3659,0,0,0,0,0,0,0,0,0,1,1,1,3,2
4476,183789005,Berkeley College-Woodland Park,Newark,536 Broad Street,Newark,NJ,7102,3,"Private for-profit, 2",1033,2626,3659,0,0,0,0,0,0,0,0,0,1,1,1,3,2
4480,183822001,Bloomfield College,Main Campus,467 FRANKLIN ST,BLOOMFIELD,NJ,70033494,2,"Private nonprofit, 2",726,1278,2004,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4482,183877001,Burlington County College,Pemberton Campus,601 Pemberton Browns Mills Road,Pemberton,NJ,8068,4,"Public, 1",4000,5438,9438,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4483,183877002,Burlington County College,Mount Laurel Campus,3331 Route 38,Mount Laurel,NJ,8054,4,"Public, 1",4000,5438,9438,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4494,183983001,Adult and Continuing Education-BCTS,Main Campus,190 Hackensack Ave.,Hackensack,NJ,7601,7,"Public, 0",78,12,90,0,0,0,0,0,0,0,0,0,1,1,1,1,0
4509,184481001,Essex County College,Essex County College,303 UNIVERSITY AVE,NEWARK,NJ,71021798,4,"Public, 1",4756,6712,11468,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4522,184791001,Rowan College at Gloucester County,Rowan College at Gloucester County,1400 TANYARD RD,SEWELL,NJ,8080,4,"Public, 1",3083,4047,7130,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4528,185129001,New Jersey City University,Main Campus,2039 KENNEDY BLVD,JERSEY CITY,NJ,7305,1,"Public, 2",2978,5158,8136,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4529,185174001,Joe Kubert School of Cartoon and Graphic Art,JOE KUBERT SCHOOL OF CARTOON AND GRAPHIC ART,37 MYRTLE AVE,DOVER,NJ,7801,6,"Private for-profit, 1",74,25,99,0,0,0,0,0,0,0,0,0,1,1,1,3,1
4538,185536001,Middlesex County College,Main Campus,2600 Woodbridge Avenue,EDISON,NJ,8837,4,"Public, 1",5648,6411,12059,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4539,185536002,Middlesex County College,New Brunswick Center,140 New St.,New Brunswick,NJ,8901,4,"Public, 1",5648,6411,12059,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4540,185536003,Middlesex County College,Perth Amboy Center,60 Washington St.,Perth Amboy,NJ,8861,4,"Public, 1",5648,6411,12059,0,0,0,0,1,0,0,0,0,1,1,1,1,1
4541,185572001,Monmouth University,Monmouth University,400 CEDAR AVE,WEST LONG BRANCH,NJ,77641898,2,"Private nonprofit, 2",2322,4073,6395,0,0,0,0,1,0,0,0,0,1,1,1,2,2
4542,185590001,Montclair State University,Main Campus,VALLEY RD AND NORMAL AVE,MONTCLAIR,NJ,70431624,1,"Public, 2",7368,12654,20022,0,3,2,0,0,0,0,0,0,1,1,1,1,2
4547,185758001,New Brunswick Theological Seminary,Main Campus,35 Seminary Place,New Brunswick,NJ,89011196,2,"Private nonprofit, 2",66,112,178,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4550,185828001,New Jersey Institute of Technology,Main Campus,UNIVERSITY HTS,NEWARK,NJ,71021982,1,"Public, 2",7981,2665,10646,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4551,185873001,Ocean County College,"Main Campus, Hooper Ave. Toms River",1 College Drive,Toms River,NJ,87542001,4,"Public, 1",4114,5182,9296,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4558,186131001,Princeton University,Main Campus,1 Nassau Hall,PRINCETON,NJ,85440070,2,"Private nonprofit, 2",4419,3669,8088,0,1,0,0,1,0,0,9,0,1,1,1,2,2
4566,186371001,Rutgers University-Camden,Rutgers University-Camden Division,303 Cooper Street,CAMDEN,NJ,8102,1,"Public, 2",2872,3449,6321,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4567,186380001,Rutgers University-New Brunswick,Main Campus,83 SOMERSET ST,NEW BRUNSWICK,NJ,89011281,1,"Public, 2",22500,25878,48378,0,0,0,0,0,1,1,13,7,1,1,1,1,2
4573,186399001,Rutgers University-Newark,Rutgers University - Newark,123 Washington Street,NEWARK,NJ,7102,1,"Public, 2",5773,5541,11314,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4582,186469001,Salem Community College,Salem Community College,460 Hollywood Avenue,Carneys Point,NJ,80692799,4,"Public, 1",483,690,1173,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4583,186584001,Seton Hall University,Main Campus,400 S ORANGE AVE,SOUTH ORANGE,NJ,70792697,2,"Private nonprofit, 2",3985,5642,9627,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4588,186645001,Raritan Valley Community College,Raritan Valley Community College,P.O. Box 3300,Somerville,NJ,88761265,4,"Public, 1",4009,4205,8214,9,36,3,4,14,1,0,0,0,1,1,1,1,1
4589,186867001,Stevens Institute of Technology,Main Campus,1 CASTLE POINT ON HUDSON,HOBOKEN,NJ,70305991,2,"Private nonprofit, 2",4387,1738,6125,0,0,0,0,4,2,0,0,0,1,1,1,2,2
4590,186876001,Stockton University,Main Campus,101 Vera King Farris Drive,Galloway,NJ,82059441,1,"Public, 2",3349,5221,8570,0,1,0,0,0,0,0,8,0,1,1,1,1,2
4599,187444001,William Paterson University of New Jersey,Main Campus,300 POMPTON RD,WAYNE,NJ,74702103,1,"Public, 2",4691,6357,11048,0,0,0,0,0,0,0,1,0,1,1,1,1,2
4615,187532001,Central New Mexico Community College,Main Campus,525 BUENA VISTA SE,ALBUQUERQUE,NM,87106,4,"Public, 1",11690,15081,26771,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4631,187639001,Clovis Community College,Clovis Community College,417 Schepps Blvd,Clovis,NM,881018381,4,"Public, 1",1308,2437,3745,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4634,187745001,Institute of American Indian and Alaska Native Culture,Main Campus,83 AVAN NU PO ROAD,SANTA FE,NM,875081300,1,"Public, 2",206,280,486,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4635,187897001,New Mexico Highlands University,Main Campus,UNIVERSITY AVE,LAS VEGAS,NM,87701,1,"Public, 2",1278,2268,3546,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4636,187903001,New Mexico Junior College,Main Campus,5317 LOVINGTON HWY,HOBBS,NM,88240,4,"Public, 1",1385,1947,3332,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4641,187985001,University of New Mexico-Main Campus,Main Campus,2500 Campus Blvd. NE MSC02 1540,ALBUQUERQUE,NM,871310026,1,"Public, 2",12469,15375,27844,0,4,0,0,1,0,0,3,0,1,1,1,1,2
4653,188207001,Southwestern College,Main Campus,3960 San Felipe Road,Santa Fe,NM,87507,2,"Private nonprofit, 2",13,149,162,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4655,188225001,University of New Mexico-Taos Campus,The University of New Mexico-Taos,1157 County  Rd. 110,Ranchos de Taos,NM,87557,4,"Public, 1",738,1031,1769,0,5,1,0,0,0,0,0,0,1,1,1,1,1
4656,188261001,Mesalands Community College,Main Campus,911 S TENTH ST,TUCUMCARI,NM,884013352,4,"Public, 1",480,313,793,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4664,188438001,Adirondack Community College,Main Campus,640 BAY RD,QUEENSBURY,NY,12804,4,"Public, 1",1810,2437,4247,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4665,188465001,Globe Institute of Technology,Main Campus,500 7th Avenue 2nd floor,NEW YORK,NY,10018,3,"Private for-profit, 2",345,145,490,0,0,0,0,0,0,0,0,0,1,1,1,3,2
4670,188580001,Albany Medical College,Albany Medical College,47 NEW SCOTLAND AVE,ALBANY,NY,122083479,2,"Private nonprofit, 2",366,457,823,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4677,188854001,American Musical and Dramatic Academy,Main Campus,211 West 61st Street,NEW YORK,NY,10023,2,"Private nonprofit, 2",580,1155,1735,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4678,188854002,American Musical and Dramatic Academy,Los Angeles campus,6305 Yucca Street,Los Angeles,CA,90028,2,"Private nonprofit, 2",580,1155,1735,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4680,188915001,Arnot Ogden Medical Center,Main Campus,600 ROE AVE,ELMIRA,NY,149051676,5,"Private nonprofit, 1",3,67,70,0,0,0,0,0,0,0,0,0,1,1,1,2,1
4684,189088001,Bard College,Main Campus,30 Campus Road,Red Hook,NY,12571,2,"Private nonprofit, 2",1081,1388,2469,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4685,189088002,Bard College,Bard Graduate Center,18 and 38 West 86th Street,New York,NY,10024,2,"Private nonprofit, 2",1081,1388,2469,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4687,189097001,Barnard College,Main Campus,3009 BROADWAY,NEW YORK,NY,100276598,2,"Private nonprofit, 2",5,2568,2573,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4689,189228001,Berkeley College-New York,Main Campus,3 E 43rd STREET,NEW YORK,NY,10017,3,"Private for-profit, 2",1630,2849,4479,0,0,0,0,0,0,0,0,0,1,1,1,3,2
4702,189501001,Brooklyn Law School,Main Campus,250 JORALEMON STREET,BROOKLYN,NY,11201,2,"Private nonprofit, 2",612,529,1141,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4714,189839001,Cayuga County Community College,Main Campus,197  Franklin St,Auburn,NY,13021,4,"Public, 1",1613,2677,4290,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4716,189848001,Cazenovia College,Main Campus,22 Sullivan St,CAZENOVIA,NY,13035,2,"Private nonprofit, 2",302,789,1091,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4721,190044001,Clarkson University,Main Campus,10 Clarkson Ave.,POTSDAM,NY,136995557,2,"Private nonprofit, 2",2689,1184,3873,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4725,190099001,Colgate University,Main Campus,13 OAK DR,HAMILTON,NY,133461398,2,"Private nonprofit, 2",1318,1570,2888,0,1,0,0,1,0,0,0,0,1,1,1,2,2
4727,190150001,Columbia University in the City of New York,Morningside Campus,116 ST AND BROADWAY,NEW YORK,NY,10027,2,"Private nonprofit, 2",13596,13993,27589,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4738,190415001,Cornell University,Statutory and Endowed Campus,G-2 Barton Hall Cornell University,ITHACA,NY,148531701,2,"Private nonprofit, 2",11172,10507,21679,0,6,1,0,1,0,0,0,0,1,1,1,2,2
4740,190424001,Weill Cornell Medical College,Main Campus,1300 YORK AVE,NEW YORK,NY,10065,2,"Private nonprofit, 2",477,546,1023,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4741,190424004,Weill Cornell Medical College,Weill Cornell Physician Assistant Program,575 Lexington Ave,New York,NY,10022,2,"Private nonprofit, 2",477,546,1023,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4754,190521001,CUNY Borough of Manhattan Community College,Borough of Manhattan Community College,199 CHAMBERS ST,NEW YORK,NY,100071097,4,"Public, 1",11395,15211,26606,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4755,190530001,CUNY Bronx Community College,Main Campus,2155 UNIVERSITY AVE,BRONX,NY,104533102,4,"Public, 1",5024,6482,11506,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4756,190549001,CUNY Brooklyn College,Main Campus,2900 BEDFORD AVE,BROOKLYN,NY,112102889,1,"Public, 2",6904,10486,17390,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4759,190576001,CUNY Graduate School and University Center,Main Campus,365 FIFTH AVE,NEW YORK,NY,100164309,1,"Public, 2",2661,4352,7013,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4771,190600001,CUNY John Jay College of Criminal Justice,John Jay College of Criminal Justice,524 W 59th Street,NEW YORK,NY,10019,1,"Public, 2",6415,8630,15045,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4774,190637001,CUNY Lehman College,Herbert H. Lehman College,250 BEDFORD PARK BLVD WEST,BRONX,NY,104681589,1,"Public, 2",3901,8497,12398,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4776,190655001,CUNY New York City College of Technology,Main Campus,300 JAY ST,BROOKLYN,NY,11201,1,"Public, 2",9718,7656,17374,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4780,190691001,CUNY York College,YORK COLLEGE,94-20 Guy R. Brewer Blvd,Jamaica,NY,11451,1,"Public, 2",2963,5530,8493,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4781,190707001,CVPH Medical Center School of Radiologic Technology,Main Campus,75 BEEKMAN ST,PLATTSBURGH,NY,12901,5,"Private nonprofit, 1",4,19,23,0,0,0,0,0,0,0,0,0,1,1,1,2,1
4782,190716001,D'Youville College,Main Campus,320 PORTER AVE,BUFFALO,NY,142011084,2,"Private nonprofit, 2",925,2142,3067,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4783,190725001,Daemen College,Main Campus,4380 Main Street,AMHERST,NY,142263592,2,"Private nonprofit, 2",752,2048,2800,0,0,0,0,1,0,0,0,0,1,1,1,2,2
4786,190761001,Dominican College of Blauvelt,Main Campus,470 Western Highway,Orangeburg,NY,109621210,2,"Private nonprofit, 2",708,1272,1980,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4792,190983001,Elmira College,Main Campus,One Park Place,Elmira,NY,14901,2,"Private nonprofit, 2",452,1030,1482,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4793,191083001,Erie Community College,Main Campus,121 ELLICOTT ST,BUFFALO,NY,14203,4,"Public, 1",6390,6343,12733,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4794,191083002,Erie Community College,North Campus,6205 Main Street,Williamsville,NY,14221,4,"Public, 1",6390,6343,12733,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4795,191083003,Erie Community College,South Campus,4041 Southwestern Blvd.,Orchard Park,NY,14127,4,"Public, 1",6390,6343,12733,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4796,191126001,Fashion Institute of Technology,FASHION INSTITUTE OF TECHNOLOGY,7th Avenue  at  27th Street,NEW YORK,NY,100015992,1,"Public, 2",1498,8266,9764,0,0,0,0,0,0,0,0,0,1,1,1,1,2
4797,191199001,Finger Lakes Community College,Main Campus,3325 Marvin Sands Dr.,CANANDAIGUA,NY,144248395,4,"Public, 1",2904,3889,6793,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4799,191241001,Fordham University,Main Campus,441 E FORDHAM RD,BRONX,NY,10458,2,"Private nonprofit, 2",6328,8903,15231,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4800,191241002,Fordham University,FORDHAM UNI-LINCOLN CENTER CAMPUS,113 W 60 ST,NEW YORK,NY,10023,2,"Private nonprofit, 2",6328,8903,15231,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4810,191339001,Genesee Community College,Genesee Community College,One College Road,BATAVIA,NY,14020,4,"Public, 1",2515,4361,6876,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4813,191533001,Hartwick College,Main Campus,One Hartwick Drive,ONEONTA,NY,138204020,2,"Private nonprofit, 2",604,936,1540,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4816,191621001,Hilbert College,Main Campus,5200 S PARK AVE,HAMBURG,NY,140751597,2,"Private nonprofit, 2",437,575,1012,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4817,191630001,Hobart William Smith Colleges,Main Campus,300 Pulteney Street,GENEVA,NY,14456,2,"Private nonprofit, 2",1158,1267,2425,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4821,191719001,Hudson Valley Community College,Main Campus,80 VANDENBURGH AVE,TROY,NY,12180,4,"Public, 1",6409,5768,12177,0,1,0,0,0,0,0,0,0,1,1,1,1,1
4830,191968001,Ithaca College,Main Campus,953 Danby Rd,Ithaca,NY,148507002,2,"Private nonprofit, 2",2759,3828,6587,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4834,191986001,Jamestown Community College,Jamestown Campus,525 FALCONER ST,JAMESTOWN,NY,14701,4,"Public, 1",2119,2946,5065,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4846,192271001,LIM College,Main Campus,12 E 53RD ST,New York,NY,100225268,3,"Private for-profit, 2",143,1594,1737,0,0,0,0,0,0,0,0,0,1,1,1,3,2
4862,192819001,Marist College,Main Campus,3399 NORTH RD,POUGHKEEPSIE,NY,12601,2,"Private nonprofit, 2",2670,3686,6356,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4866,192864001,Marymount Manhattan College,Main Campus,221 E 71 Street,NEW YORK,NY,100214597,2,"Private nonprofit, 2",434,1424,1858,0,0,0,0,0,0,0,0,0,1,1,1,2,2
4867,192925001,Medaille College,Main Campus,18 AGASSIZ CIR,BUFFALO,NY,142142695,2,"Private nonprofit, 2",761,1718,2479,0,0,0,0,0,0,0,0,0,1,1,1,2,2
